0;Engine
1;Auxiliary Power Unit (APU)
2;Electric Propulsion Control
3;Transmission
4;Battery Pack Monitor
5;Shift Control
6;Power Take Off - (Rear or Primary)
7;Axle - Steering
8;Axle - Driving
9;Brakes - System Control
10;Brakes - Steer Axle Control
11;Brakes - Drive Axle Control
12;Retarder - Engine
13;Retarder - Driveline
14;Cruise Control
15;Fuel System
16;Steering Control
17;Suspension Control - Steer Axle
18;Suspension Control - Drive Axle
19;Instrument Cluster
20;Trip Recorder
21;Cab Climate Control
22;Aerodynamic Control
23;Vehicle Navigation
24;Vehicle Security
25;Network Interconnect Unit
26;Body Controller
27;Power Take Off - (Front or Secondary)
28;Off Vehicle Gateway
29;Virtual Terminal
30;Management Computer #1
31;Propulsion Battery Charger
32;Headway Controller
33;System Monitor
34;Hydraulic Pump Controller
35;Suspension - System Controller
36;Pneumatic - System Controller
37;Cab Controller
38;Tyre Pressure Control
39;Ignition Control Module
40;Seat Control
41;Lighting - Operator Controls
42;Water Pump Control
43;Transmission Display
44;Exhaust Emission Control
45;Vehicle Dynamic Stability Control
46;Oil Sensor Unit
47;Information System Controller
48;Ramp Control
49;Clutch/Converter Control
50;Auxiliary Heater
51;Forward-Looking Collision Warning System
52;Chassis Controller
53;Alternator/Charging System
54;Communications Unit, Cellular
55;Communications Unit, Satellite
56;Communications Unit, Radio
57;Operator Controls, Steering Column
58;Fan Drive Control
59;Starter
60;Cab Display
61;File Server / Printer
62;On-Board Diagnostic Unit
63;Engine Valve Controller
64;Endurance Braking
65;Gas Flow Measurement
66;I/O Controller
67;Electrical System Controller
68;Aftertreatment system gas measurement
69;Engine Emission Aftertreatment System
70;Auxiliary Regeneration Unit
71;Transfer Case Control
72;Coolant Valve Controller
73;Rollover Detection Control
74;Lubrication System
75;Supplemental Fan
76;Temperature Sensor
77;Fuel Properties Sensor
78;Fire Suppression System
79;Power Systems Manager
80;Electric Powertrain
81;Hydraulic Powertrain
82;File Server
83;Printer
84;Start Aid Device
85
00128;Reserved
00129;Off-Board Diagnostic Service Tool
00130;On-Board Data Logger
00131;PC Keyboard
00132;Safety Restraint System
00133;Turbocharger
00134;Ground based speed sensor
00135;Keypad
00136;Humidity sensor
00137;Thermal Management System Controller
00138;Brake Stroke Alert
00139;On-board axle group scale
00140;On-board axle group display
00141;Battery Charger
00142;Turbocharger Compressor Bypass
00143;Turbocharger Wastegate
00144;Throttle
00145;Inertial Sensor
00146;Fuel Actuator
00147;Engine Exhaust Gas Recirculation
00148;Engine Exhaust Backpressure
00149;On-board bin weighing scale
00150;On-board bin weighing scale display
00151;Engine Cylinder Pressure Monitoring System
00255;Not Available
0127255;Not Available
10127;See Annex F
10128;Tachograph
10129;Door Control System
10130;Articulation Turntable Control
10131;Body to Vehicle Interface Control
10132;Slope Sensor
10133
10134;Retarder Display
10135;Differential Lock Controller
10136;Low-Voltage Disconnect
10137;Roadway Information

10255;Not Available
11127;See Annex F
11128;Forward Road Image Processor
11129;Fifth Wheel Smart System
11130;Catalyst Fluid Sensor
11131;Adaptive Front Lighting System
11132;Idle Control System
11133;User Interface System
11255;Not Available
12127;See Annex F
12255;Not Available
1127255;Not Available
20127;See Annex F
20128;Non-Virtual Terminal Display
20129;Operator Controls
20130;Task Controller (Mapping Computer)
20131;Position Control
20132;Machine Control
20133;Foreign Object Detection
20134;Tractor ECU
20135;Sequence Control Master
20136;Product Dosing
20137;Product Treatment
20138;All operations stop function
20139;Data Logger
20140;Decision Support
20141;Lighting Controller
20255;Not Available
21127;See Annex F
21128
21129;Auxiliary Valve Control
21130;Rear Hitch Control
21131;Front Hitch Control
21132;Tractor Machine Control
21133
21134;Center Hitch Control
21255;Not Available
22127;See Annex F
22132;Tillage Machine Control
22135;Tillage Depth Control
22136;Frame Control
22255;Not Available
23127;See Annex F
23132;Secondary Tillage Machine Control
23135;Secondary Tillage Depth Control
23136;Frame Control
23255;Not Available
24127;See Annex F
24128;Seed Rate Control
24129;Section On/Off Control
24130
24131;Position Control
24132;Seeders/Planters Machine Control
24133;Product Flow
24134;Product Level
24135;Depth Control
24136;Frame Control
24137;Down Pressure
24255;Not Available
25127;See Annex F
25128;Fertilizer Rate Control
25129;Section On/Off Control
25130;Product Pressure
25131;Position Control
25132;Fertilizers Machine Control
25133;Product Flow
25134;Product Level
25135;Height/ Depth Control
25136;Frame Control
25255;Not Available
26127;See Annex F
26128;Spray Rate Control
26129;Section On/Off Control
26130;Product Pressure
26131;Position Control
26132;Sprayers Machine Control
26133;Product Flow
26134;Product Level
26135;Boom Height Control
26136;Frame Control
26255;Not Available
27127;See Annex F
27128;Tailing Monitor
27129;Header Control
27130;Product Loss Monitor
27131;Product Moisture
27132;Harvester Machine Control
27133;Product Flow
27134;Product Level
27135;Header Height Control
27255;Not Available
28127;See Annex F
28132;Root Harvesters Machine Control
28133;Product Flow
28134;Product Level
28135;Depth Control
28255;Not Available
29127;See Annex F
29128;Twine Wrapper Control
29129;Product Packaging Control
29130
29131;Product Moisture
29132;Forage Machine Control
29133;Product Flow
29134
29135;Working Height Control
29255;Not Available
210127;See Annex F
210255;Not Available
211127;See Annex F
211132;Transport Machine Control
211136;Unload Control
211255;Not Available
212127;See Annex F
212255;Not Available
213127;See Annex F
213132;Powered Devices Machine Control
213255;Not Available
214127;See Annex F
214132;Special Crop Machine Control
214255;Not Available
215127;See Annex F
215128;Material rate control
215132;Earthworks Machine Control
215133;Material Flow
215134;Material Level
215135;Depth Control
215255;Not Available
216127;See Annex F
216132;Skidder Machine Control
216255;Not Available
217127;See Annex F
217128;Guidance Feeler
217129;Camera System
217130;Crop Scouting
217131;Material Properties Sensing
217255;Not Available
221127;See Annex F
221132;Timber Loaders Machine Control
221255;Not Available
222127;See Annex F
222132;Timber Processing Machine Control
222255;Not Available
223127;See Annex F
223132;Mulcher Machine Control
223255;Not Available
224127;See Annex F
224132;Utility Machine Control
224255;Not Available
225127;See Annex F
225128;Slurry/Manure Rate Control
225129;Section On/Off Control
225130;Product Pressure
225131
225132;Slurry/Manure Machine Control
225133;Product Flow
225134;Product Level
225135;Boom Height Control
225255;Not Available
226127;See Annex F
226128;Feeder/Mixer Rate Control
226129;Section On/Off Control
226130;Product Pressure
226131
226132;Feeder/Mixer Machine Control
226133;Product Flow
226134;Product Level
226135;Boom Height Control
226255;Not Available
2127127;See Annex F
2127255;Not Available
30127;See Annex F
30128;Supplemental Engine Control Sensing
30129;Laser Receiver
30130;Land Leveling System Operator Interface
30131;Land Levelling Electric Mast
30132;Single Land Levelling System Supervisor
30133;Land Levelling System Display
30134;Laser Tracer
30135;Loader Control
30136;Slope Sensor
30137;Lift arm Control
30138;Supplemental Sensor Processing Units
30139;Hydraulic System Planner
30140;Hydraulic Valve Controller
30141;Joystick Control
30142;Rotation Sensor
30143;Sonic Sensor
30144;Survey Total Station Target
30145;Heading Sensor
30146;Alarm device
30255;Not Available
31128;Main Controller
31255;Not Available
32255;Not Available
33255;Not Available
34128;Blade Control
34255;Not Available
35128;Slope Sensor
35255;Not Available
36255;Not Available
37255;Not Available
38128;HFWD Controller
38255;Not Available
3127255;Not Available
40127;See Annex F
40128;Marine Engines Alarm System
40129;Marine Engines Protection System
40130;Marine Engines Protection System Disp
40255;Not Available
410127;See Annex F
